,NAME,Year,Units in All Multi-Family Structures,Units in Multi-Family Structures,Units in Single-Family Structures
117,"Belle Meade city, Tennessee",2009,,0,5
118,"Belle Meade city, Tennessee",2010,,0,2
119,"Belle Meade city, Tennessee",2011,,0,0
120,"Belle Meade city, Tennessee",2012,,0,0
121,"Belle Meade city, Tennessee",2013,,0,8
122,"Belle Meade city, Tennessee",2014,,0,4
123,"Belle Meade city, Tennessee",2015,,0,13
124,"Belle Meade city, Tennessee",2016,,0,7
125,"Belle Meade city, Tennessee",2017,,0,9
126,"Belle Meade city, Tennessee",2018,,0,11
127,"Belle Meade city, Tennessee",2019,,0,7
128,"Belle Meade city, Tennessee",2020,,0,6
129,"Belle Meade city, Tennessee",2021,,0,14
130,"Belle Meade city, Tennessee",2022,0,,9
131,"Belle Meade city, Tennessee",2023,0,,4
132,"Berry Hill city, Tennessee",1980,,0,0
133,"Berry Hill city, Tennessee",1981,,0,0
134,"Berry Hill city, Tennessee",1982,,0,0
135,"Berry Hill city, Tennessee",1983,,0,0
136,"Berry Hill city, Tennessee",1984,,0,0
137,"Berry Hill city, Tennessee",1985,,0,1
138,"Berry Hill city, Tennessee",1986,,0,0
139,"Berry Hill city, Tennessee",1987,,0,0
140,"Berry Hill city, Tennessee",1988,,0,0
141,"Berry Hill city, Tennessee",1989,,0,0
142,"Berry Hill city, Tennessee",1990,,0,0
143,"Berry Hill city, Tennessee",1991,,0,0
144,"Berry Hill city, Tennessee",1992,,0,0
145,"Berry Hill city, Tennessee",1993,,0,0
146,"Berry Hill city, Tennessee",1994,,0,0
147,"Berry Hill city, Tennessee",1995,,0,0
148,"Berry Hill city, Tennessee",1996,,0,0
149,"Berry Hill city, Tennessee",1997,,0,0
150,"Berry Hill city, Tennessee",1998,,0,8
151,"Berry Hill city, Tennessee",1999,,0,29
152,"Berry Hill city, Tennessee",2000,,0,5
153,"Berry Hill city, Tennessee",2001,,0,0
154,"Berry Hill city, Tennessee",2002,,0,0
155,"Berry Hill city, Tennessee",2003,,0,0
156,"Berry Hill city, Tennessee",2004,,0,0
157,"Berry Hill city, Tennessee",2005,,0,0
158,"Berry Hill city, Tennessee",2006,,0,0
159,"Berry Hill city, Tennessee",2007,,0,43
160,"Berry Hill city, Tennessee",2008,,0,1
161,"Berry Hill city, Tennessee",2009,,0,0
162,"Berry Hill city, Tennessee",2010,,0,0
163,"Berry Hill city, Tennessee",2011,,0,0
164,"Berry Hill city, Tennessee",2012,,0,0
165,"Berry Hill city, Tennessee",2013,,0,0
166,"Berry Hill city, Tennessee",2014,,0,0
167,"Berry Hill city, Tennessee",2015,,0,0
168,"Berry Hill city, Tennessee",2016,,0,0
169,"Berry Hill city, Tennessee",2017,,0,0
170,"Berry Hill city, Tennessee",2018,,0,0
171,"Berry Hill city, Tennessee",2019,,0,0
172,"Berry Hill city, Tennessee",2020,,0,0
173,"Berry Hill city, Tennessee",2021,,0,0
174,"Berry Hill city, Tennessee",2022,0,,0
175,"Berry Hill city, Tennessee",2023,0,,5
176,"Brentwood city, Tennessee",1980,,0,68
177,"Brentwood city, Tennessee",1981,,0,54
178,"Brentwood city, Tennessee",1982,,0,85
179,"Brentwood city, Tennessee",1983,,0,370
180,"Brentwood city, Tennessee",1984,,0,218
181,"Brentwood city, Tennessee",1985,,0,449
182,"Brentwood city, Tennessee",1986,,0,328
183,"Brentwood city, Tennessee",1987,,0,250
184,"Brentwood city, Tennessee",1988,,0,259
185,"Brentwood city, Tennessee",1989,,0,228
186,"Brentwood city, Tennessee",1990,,0,160
187,"Brentwood city, Tennessee",1991,,0,153
188,"Brentwood city, Tennessee",1992,,0,282
189,"Brentwood city, Tennessee",1993,,0,351
190,"Brentwood city, Tennessee",1994,,0,317
191,"Brentwood city, Tennessee",1995,,0,261
192,"Brentwood city, Tennessee",1996,,0,276
193,"Brentwood city, Tennessee",1997,,0,186
194,"Brentwood city, Tennessee",1998,,0,212
195,"Brentwood city, Tennessee",1999,,0,198
196,"Brentwood city, Tennessee",2000,,0,171
197,"Brentwood city, Tennessee",2001,,0,257
198,"Brentwood city, Tennessee",2002,,0,458
199,"Brentwood city, Tennessee",2003,,0,605
200,"Brentwood city, Tennessee",2004,,0,633
201,"Brentwood city, Tennessee",2005,,0,458
202,"Brentwood city, Tennessee",2006,,0,502
203,"Brentwood city, Tennessee",2007,,0,294
204,"Brentwood city, Tennessee",2008,,0,104
205,"Brentwood city, Tennessee",2009,,0,65
206,"Brentwood city, Tennessee",2010,,0,137
207,"Brentwood city, Tennessee",2011,,0,232
208,"Brentwood city, Tennessee",2012,,0,253
209,"Brentwood city, Tennessee",2013,,0,225
210,"Brentwood city, Tennessee",2014,,0,251
211,"Brentwood city, Tennessee",2015,,0,240
212,"Brentwood city, Tennessee",2016,,0,175
213,"Brentwood city, Tennessee",2017,,0,185
214,"Brentwood city, Tennessee",2018,,0,139
215,"Brentwood city, Tennessee",2019,,0,109
216,"Brentwood city, Tennessee",2020,,0,141
217,"Brentwood city, Tennessee",2021,,0,147
218,"Brentwood city, Tennessee",2022,0,,83
219,"Brentwood city, Tennessee",2023,0,,104
220,"Burns town, Tennessee",1980,,0,0
221,"Burns town, Tennessee",1981,,0,0
222,"Burns town, Tennessee",1982,,0,0
223,"Burns town, Tennessee",1983,,0,0
224,"Burns town, Tennessee",1984,,0,0
225,"Burns town, Tennessee",1985,,0,0
226,"Burns town, Tennessee",1986,,0,0
227,"Burns town, Tennessee",1987,,0,0
228,"Burns town, Tennessee",1988,,0,0
229,"Burns town, Tennessee",1989,,0,0
230,"Burns town, Tennessee",1990,,0,1
231,"Burns town, Tennessee",1991,,0,0
232,"Burns town, Tennessee",1992,,0,7
233,"Burns town, Tennessee",1993,,0,7
234,"Burns town, Tennessee",1994,,0,10
235,"Burns town, Tennessee",1995,,0,3
236,"Burns town, Tennessee",1996,,0,4
237,"Burns town, Tennessee",1997,,2,6
238,"Burns town, Tennessee",1998,,2,5
239,"Burns town, Tennessee",1999,,4,9
240,"Burns town, Tennessee",2000,,4,8
241,"Burns town, Tennessee",2001,,0,9
242,"Burns town, Tennessee",2002,,0,6
243,"Burns town, Tennessee",2003,,0,1
244,"Burns town, Tennessee",2004,,0,2
245,"Burns town, Tennessee",2005,,0,1
246,"Burns town, Tennessee",2006,,0,0
247,"Burns town, Tennessee",2007,,0,0
248,"Burns town, Tennessee",2008,,0,2
249,"Burns town, Tennessee",2009,,0,1
250,"Burns town, Tennessee",2010,,0,0
251,"Burns town, Tennessee",2011,,0,0
252,"Burns town, Tennessee",2012,,0,0
253,"Burns town, Tennessee",2013,,0,1
254,"Burns town, Tennessee",2014,,0,2
255,"Burns town, Tennessee",2015,,0,6
256,"Burns town, Tennessee",2016,,0,11
257,"Burns town, Tennessee",2017,,0,12
258,"Burns town, Tennessee",2018,,0,13
259,"Burns town, Tennessee",2019,,0,45
260,"Burns town, Tennessee",2020,,0,42
261,"Burns town, Tennessee",2021,,0,51
262,"Burns town, Tennessee",2022,0,,23
263,"Burns town, Tennessee",2023,0,,26
264,"Charlotte town, Tennessee",1980,,0,0
265,"Charlotte town, Tennessee",1981,,0,0
266,"Charlotte town, Tennessee",1982,,0,0
267,"Charlotte town, Tennessee",1983,,0,0
268,"Charlotte town, Tennessee",1984,,0,0
269,"Charlotte town, Tennessee",1985,,0,0
270,"Charlotte town, Tennessee",1986,,0,0
271,"Charlotte town, Tennessee",1987,,0,0
272,"Charlotte town, Tennessee",1988,,0,0
273,"Charlotte town, Tennessee",1989,,0,0
274,"Charlotte town, Tennessee",1990,,0,0
275,"Charlotte town, Tennessee",1991,,0,0
276,"Charlotte town, Tennessee",1992,,0,0
277,"Charlotte town, Tennessee",1993,,0,0
278,"Charlotte town, Tennessee",1994,,0,0
279,"Charlotte town, Tennessee",1995,,0,0
280,"Charlotte town, Tennessee",1996,,0,0
281,"Charlotte town, Tennessee",1997,,0,0
282,"Charlotte town, Tennessee",1998,,0,0
283,"Charlotte town, Tennessee",1999,,0,0
284,"Charlotte town, Tennessee",2000,,0,0
285,"Charlotte town, Tennessee",2001,,0,0
286,"Charlotte town, Tennessee",2002,,0,0
287,"Charlotte town, Tennessee",2003,,0,1
288,"Charlotte town, Tennessee",2004,,0,0
289,"Charlotte town, Tennessee",2005,,0,0
290,"Charlotte town, Tennessee",2006,,0,0
291,"Charlotte town, Tennessee",2007,,0,0
292,"Charlotte town, Tennessee",2008,,0,0
293,"Charlotte town, Tennessee",2009,,0,3
294,"Charlotte town, Tennessee",2010,,0,1
295,"Charlotte town, Tennessee",2011,,0,1
296,"Charlotte town, Tennessee",2012,,0,0
297,"Charlotte town, Tennessee",2013,,0,0
298,"Charlotte town, Tennessee",2014,,0,0
299,"Charlotte town, Tennessee",2015,,0,0
300,"Charlotte town, Tennessee",2016,,0,0
301,"Charlotte town, Tennessee",2017,,0,0
302,"Charlotte town, Tennessee",2018,,0,0
303,"Charlotte town, Tennessee",2019,,0,0
304,"Charlotte town, Tennessee",2020,,0,0
305,"Charlotte town, Tennessee",2021,,0,0
306,"Charlotte town, Tennessee",2022,0,,0
307,"Charlotte town, Tennessee",2023,0,,0
308,"Cheatham County, Tennessee",1980,,0,154
309,"Cheatham County, Tennessee",1981,,0,104
310,"Cheatham County, Tennessee",1982,,0,123
311,"Cheatham County, Tennessee",1983,,4,150
312,"Cheatham County, Tennessee",1984,,0,167
313,"Cheatham County, Tennessee",1985,,9,265
314,"Cheatham County, Tennessee",1986,,18,341
315,"Cheatham County, Tennessee",1987,,4,425
316,"Cheatham County, Tennessee",1988,,15,359
317,"Cheatham County, Tennessee",1989,,4,317
318,"Cheatham County, Tennessee",1990,,12,323
319,"Cheatham County, Tennessee",1991,,3,279
320,"Cheatham County, Tennessee",1992,,12,288
321,"Cheatham County, Tennessee",1993,,0,338
322,"Cheatham County, Tennessee",1994,,0,376
323,"Cheatham County, Tennessee",1995,,8,439
324,"Cheatham County, Tennessee",1996,,11,470
325,"Cheatham County, Tennessee",1997,,53,503
326,"Cheatham County, Tennessee",1998,,73,296
327,"Cheatham County, Tennessee",1999,,134,237
328,"Cheatham County, Tennessee",2000,,46,190
329,"Cheatham County, Tennessee",2001,,70,182
330,"Cheatham County, Tennessee",2002,,70,255
331,"Cheatham County, Tennessee",2003,,118,249
332,"Cheatham County, Tennessee",2004,,54,237
333,"Cheatham County, Tennessee",2005,,12,246
334,"Cheatham County, Tennessee",2006,,8,287
335,"Cheatham County, Tennessee",2007,,0,231
336,"Cheatham County, Tennessee",2008,,0,142
337,"Cheatham County, Tennessee",2009,,221,61
338,"Cheatham County, Tennessee",2010,,0,50
339,"Cheatham County, Tennessee",2011,,7,38
340,"Cheatham County, Tennessee",2012,,0,49
341,"Cheatham County, Tennessee",2013,,0,61
342,"Cheatham County, Tennessee",2014,,0,107
343,"Cheatham County, Tennessee",2015,,0,121
344,"Cheatham County, Tennessee",2016,,0,173
345,"Cheatham County, Tennessee",2017,,0,293
346,"Cheatham County, Tennessee",2018,,0,292
347,"Cheatham County, Tennessee",2019,,0,344
348,"Cheatham County, Tennessee",2020,,7,250
349,"Cheatham County, Tennessee",2021,,147,260
350,"Cheatham County, Tennessee",2022,0,,301
351,"Cheatham County, Tennessee",2023,77,,208
352,Cheatham Unincorporated,1980,,0,154
353,Cheatham Unincorporated,1981,,0,104
354,Cheatham Unincorporated,1982,,0,119
355,Cheatham Unincorporated,1983,,0,148
356,Cheatham Unincorporated,1984,,0,162
357,Cheatham Unincorporated,1985,,9,227
358,Cheatham Unincorporated,1986,,18,304
359,Cheatham Unincorporated,1987,,4,391
360,Cheatham Unincorporated,1988,,15,339
361,Cheatham Unincorporated,1989,,4,307
362,Cheatham Unincorporated,1990,,4,223
363,Cheatham Unincorporated,1991,,0,214
364,Cheatham Unincorporated,1992,,0,246
365,Cheatham Unincorporated,1993,,0,269
366,Cheatham Unincorporated,1994,,0,260
367,Cheatham Unincorporated,1995,,0,327
368,Cheatham Unincorporated,1996,,4,356
369,Cheatham Unincorporated,1997,,2,389
370,Cheatham Unincorporated,1998,,0,245
371,Cheatham Unincorporated,1999,,0,177
372,Cheatham Unincorporated,2000,,0,102
373,Cheatham Unincorporated,2001,,0,129
374,Cheatham Unincorporated,2002,,0,166
375,Cheatham Unincorporated,2003,,0,165
376,Cheatham Unincorporated,2004,,4,139
377,Cheatham Unincorporated,2005,,0,108
378,Cheatham Unincorporated,2006,,0,138
379,Cheatham Unincorporated,2007,,0,103
380,Cheatham Unincorporated,2008,,0,80
381,Cheatham Unincorporated,2009,,0,42
382,Cheatham Unincorporated,2010,,0,35
383,Cheatham Unincorporated,2011,,0,30
384,Cheatham Unincorporated,2012,,0,44
385,Cheatham Unincorporated,2013,,0,45
386,Cheatham Unincorporated,2014,,0,73
387,Cheatham Unincorporated,2015,,0,81
388,Cheatham Unincorporated,2016,,0,109
389,Cheatham Unincorporated,2017,,0,112
390,Cheatham Unincorporated,2018,,0,141
391,Cheatham Unincorporated,2019,,0,201
392,Cheatham Unincorporated,2020,,0,116
393,Cheatham Unincorporated,2021,,0,100
394,Cheatham Unincorporated,2022,0,,137
395,Cheatham Unincorporated,2023,0,,123
