,NAME,Year,Units in All Multi-Family Structures,Units in Multi-Family Structures,Units in Single-Family Structures
582,"Davidson County, Tennessee",1988,,1896,2048
583,"Davidson County, Tennessee",1989,,445,1527
584,"Davidson County, Tennessee",1990,,399,1293
585,"Davidson County, Tennessee",1991,,209,1385
586,"Davidson County, Tennessee",1992,,169,1861
587,"Davidson County, Tennessee",1993,,333,2113
588,"Davidson County, Tennessee",1994,,920,2059
589,"Davidson County, Tennessee",1995,,1067,1999
590,"Davidson County, Tennessee",1996,,2723,2164
591,"Davidson County, Tennessee",1997,,1962,2200
592,"Davidson County, Tennessee",1998,,880,2455
593,"Davidson County, Tennessee",1999,,1275,2652
594,"Davidson County, Tennessee",2000,,711,2376
595,"Davidson County, Tennessee",2001,,547,3005
596,"Davidson County, Tennessee",2002,,588,2877
597,"Davidson County, Tennessee",2003,,1121,3192
598,"Davidson County, Tennessee",2004,,1178,3630
599,"Davidson County, Tennessee",2005,,1201,3819
600,"Davidson County, Tennessee",2006,,1039,4089
601,"Davidson County, Tennessee",2007,,2290,3253
602,"Davidson County, Tennessee",2008,,819,1550
603,"Davidson County, Tennessee",2009,,541,1119
604,"Davidson County, Tennessee",2010,,567,1041
605,"Davidson County, Tennessee",2011,,854,1112
606,"Davidson County, Tennessee",2012,,1621,1342
607,"Davidson County, Tennessee",2013,,2142,1896
608,"Davidson County, Tennessee",2014,,3829,2584
609,"Davidson County, Tennessee",2015,,4365,3832
610,"Davidson County, Tennessee",2016,,5751,3815
611,"Davidson County, Tennessee",2017,,2439,3971
612,"Davidson County, Tennessee",2018,,3268,3666
613,"Davidson County, Tennessee",2019,,5935,3980
614,"Davidson County, Tennessee",2020,,9616,3708
615,"Davidson County, Tennessee",2021,,12205,4105
616,"Davidson County, Tennessee",2022,11127,,4036
617,"Davidson County, Tennessee",2023,8068,,3157
618,"Dickson County, Tennessee",1980,,54,45
619,"Dickson County, Tennessee",1981,,52,12
620,"Dickson County, Tennessee",1982,,90,25
621,"Dickson County, Tennessee",1983,,64,8
622,"Dickson County, Tennessee",1984,,6,6
623,"Dickson County, Tennessee",1985,,8,22
624,"Dickson County, Tennessee",1986,,28,22
625,"Dickson County, Tennessee",1987,,49,44
626,"Dickson County, Tennessee",1988,,34,46
627,"Dickson County, Tennessee",1989,,4,51
628,"Dickson County, Tennessee",1990,,8,187
629,"Dickson County, Tennessee",1991,,12,134
630,"Dickson County, Tennessee",1992,,12,193
631,"Dickson County, Tennessee",1993,,77,218
632,"Dickson County, Tennessee",1994,,31,240
633,"Dickson County, Tennessee",1995,,146,239
634,"Dickson County, Tennessee",1996,,18,286
635,"Dickson County, Tennessee",1997,,20,278
636,"Dickson County, Tennessee",1998,,34,313
637,"Dickson County, Tennessee",1999,,218,323
638,"Dickson County, Tennessee",2000,,30,284
639,"Dickson County, Tennessee",2001,,98,309
640,"Dickson County, Tennessee",2002,,128,243
641,"Dickson County, Tennessee",2003,,12,230
642,"Dickson County, Tennessee",2004,,24,273
643,"Dickson County, Tennessee",2005,,4,262
644,"Dickson County, Tennessee",2006,,10,342
645,"Dickson County, Tennessee",2007,,10,301
646,"Dickson County, Tennessee",2008,,8,146
647,"Dickson County, Tennessee",2009,,4,103
648,"Dickson County, Tennessee",2010,,6,103
649,"Dickson County, Tennessee",2011,,8,80
650,"Dickson County, Tennessee",2012,,48,98
651,"Dickson County, Tennessee",2013,,0,109
652,"Dickson County, Tennessee",2014,,64,138
653,"Dickson County, Tennessee",2015,,7,204
654,"Dickson County, Tennessee",2016,,0,260
655,"Dickson County, Tennessee",2017,,0,320
656,"Dickson County, Tennessee",2018,,0,356
657,"Dickson County, Tennessee",2019,,0,359
658,"Dickson County, Tennessee",2020,,0,463
659,"Dickson County, Tennessee",2021,,144,473
660,"Dickson County, Tennessee",2022,91,,505
661,"Dickson County, Tennessee",2023,6,,406
662,Dickson Unincorporated,1980,,0,0
663,Dickson Unincorporated,1981,,0,0
664,Dickson Unincorporated,1982,,0,0
665,Dickson Unincorporated,1983,,0,0
666,Dickson Unincorporated,1984,,0,0
667,Dickson Unincorporated,1985,,0,0
668,Dickson Unincorporated,1986,,0,0
669,Dickson Unincorporated,1987,,0,0
670,Dickson Unincorporated,1988,,0,0
671,Dickson Unincorporated,1989,,0,0
672,Dickson Unincorporated,1990,,0,142
673,Dickson Unincorporated,1991,,4,103
674,Dickson Unincorporated,1992,,0,139
675,Dickson Unincorporated,1993,,4,161
676,Dickson Unincorporated,1994,,2,170
677,Dickson Unincorporated,1995,,2,189
678,Dickson Unincorporated,1996,,4,198
679,Dickson Unincorporated,1997,,0,207
680,Dickson Unincorporated,1998,,0,226
681,Dickson Unincorporated,1999,,2,252
682,Dickson Unincorporated,2000,,2,229
683,Dickson Unincorporated,2001,,0,235
684,Dickson Unincorporated,2002,,0,168
685,Dickson Unincorporated,2003,,0,153
686,Dickson Unincorporated,2004,,2,193
687,Dickson Unincorporated,2005,,0,184
688,Dickson Unincorporated,2006,,0,229
689,Dickson Unincorporated,2007,,0,207
690,Dickson Unincorporated,2008,,0,90
691,Dickson Unincorporated,2009,,0,69
692,Dickson Unincorporated,2010,,0,66
693,Dickson Unincorporated,2011,,0,49
694,Dickson Unincorporated,2012,,0,56
695,Dickson Unincorporated,2013,,0,70
696,Dickson Unincorporated,2014,,0,81
697,Dickson Unincorporated,2015,,0,139
698,Dickson Unincorporated,2016,,0,164
699,Dickson Unincorporated,2017,,0,211
700,Dickson Unincorporated,2018,,0,253
701,Dickson Unincorporated,2019,,0,242
702,Dickson Unincorporated,2020,,0,305
703,Dickson Unincorporated,2021,,0,290
704,Dickson Unincorporated,2022,0,,248
705,Dickson Unincorporated,2023,0,,227
706,"Dickson city, Tennessee",1980,,54,45
707,"Dickson city, Tennessee",1981,,52,12
708,"Dickson city, Tennessee",1982,,90,25
709,"Dickson city, Tennessee",1983,,64,8
710,"Dickson city, Tennessee",1984,,6,6
711,"Dickson city, Tennessee",1985,,8,22
712,"Dickson city, Tennessee",1986,,28,22
713,"Dickson city, Tennessee",1987,,49,44
714,"Dickson city, Tennessee",1988,,34,46
715,"Dickson city, Tennessee",1989,,4,51
716,"Dickson city, Tennessee",1990,,0,39
717,"Dickson city, Tennessee",1991,,0,26
718,"Dickson city, Tennessee",1992,,2,40
719,"Dickson city, Tennessee",1993,,59,41
720,"Dickson city, Tennessee",1994,,13,50
721,"Dickson city, Tennessee",1995,,128,37
722,"Dickson city, Tennessee",1996,,2,72
723,"Dickson city, Tennessee",1997,,4,54
724,"Dickson city, Tennessee",1998,,16,68
725,"Dickson city, Tennessee",1999,,196,46
726,"Dickson city, Tennessee",2000,,14,33
727,"Dickson city, Tennessee",2001,,90,50
728,"Dickson city, Tennessee",2002,,116,51
729,"Dickson city, Tennessee",2003,,0,57
730,"Dickson city, Tennessee",2004,,14,58
731,"Dickson city, Tennessee",2005,,0,55
732,"Dickson city, Tennessee",2006,,6,92
733,"Dickson city, Tennessee",2007,,4,81
734,"Dickson city, Tennessee",2008,,2,46
735,"Dickson city, Tennessee",2009,,2,24
736,"Dickson city, Tennessee",2010,,0,28
737,"Dickson city, Tennessee",2011,,8,16
738,"Dickson city, Tennessee",2012,,48,28
739,"Dickson city, Tennessee",2013,,0,24
740,"Dickson city, Tennessee",2014,,64,38
741,"Dickson city, Tennessee",2015,,7,34
742,"Dickson city, Tennessee",2016,,0,55
743,"Dickson city, Tennessee",2017,,0,54
744,"Dickson city, Tennessee",2018,,0,56
745,"Dickson city, Tennessee",2019,,0,46
746,"Dickson city, Tennessee",2020,,0,68
747,"Dickson city, Tennessee",2021,,144,86
748,"Dickson city, Tennessee",2022,65,,180
749,"Dickson city, Tennessee",2023,0,,62
750,"Dover city, Tennessee",2022,2,,6
751,"Dover city, Tennessee",2023,0,,8
752,"Eagleville city, Tennessee",1980,,0,0
753,"Eagleville city, Tennessee",1981,,0,1
754,"Eagleville city, Tennessee",1982,,0,0
755,"Eagleville city, Tennessee",1983,,0,1
756,"Eagleville city, Tennessee",1984,,0,1
757,"Eagleville city, Tennessee",1985,,0,1
758,"Eagleville city, Tennessee",1986,,0,1
759,"Eagleville city, Tennessee",1987,,0,2
760,"Eagleville city, Tennessee",1988,,0,5
761,"Eagleville city, Tennessee",1989,,0,1
762,"Eagleville city, Tennessee",1990,,0,1
763,"Eagleville city, Tennessee",1991,,0,0
764,"Eagleville city, Tennessee",1992,,0,0
765,"Eagleville city, Tennessee",1993,,0,0
766,"Eagleville city, Tennessee",1994,,0,6
767,"Eagleville city, Tennessee",1995,,0,5
768,"Eagleville city, Tennessee",1996,,0,1
769,"Eagleville city, Tennessee",1997,,0,1
770,"Eagleville city, Tennessee",1998,,0,0
771,"Eagleville city, Tennessee",1999,,0,6
772,"Eagleville city, Tennessee",2000,,0,1
773,"Eagleville city, Tennessee",2001,,0,1
774,"Eagleville city, Tennessee",2002,,0,0
775,"Eagleville city, Tennessee",2003,,0,5
776,"Eagleville city, Tennessee",2004,,0,3
777,"Eagleville city, Tennessee",2005,,0,7
778,"Eagleville city, Tennessee",2006,,0,12
779,"Eagleville city, Tennessee",2007,,0,8
780,"Eagleville city, Tennessee",2008,,0,0
781,"Eagleville city, Tennessee",2009,,0,1
782,"Eagleville city, Tennessee",2010,,0,1
783,"Eagleville city, Tennessee",2011,,0,0
784,"Eagleville city, Tennessee",2012,,0,0
785,"Eagleville city, Tennessee",2013,,0,5
786,"Eagleville city, Tennessee",2014,,0,7
787,"Eagleville city, Tennessee",2015,,0,5
788,"Eagleville city, Tennessee",2016,,2,1
789,"Eagleville city, Tennessee",2017,,2,6
790,"Eagleville city, Tennessee",2018,,2,19
791,"Eagleville city, Tennessee",2019,,0,21
792,"Eagleville city, Tennessee",2020,,0,19
793,"Eagleville city, Tennessee",2021,,0,13
794,"Eagleville city, Tennessee",2022,0,,18
795,"Eagleville city, Tennessee",2023,0,,11
796,"Erin city, Tennessee",2022,0,,2
797,"Erin city, Tennessee",2023,0,,0
798,"Fairview city, Tennessee",1980,,2,50
799,"Fairview city, Tennessee",1981,,0,6
800,"Fairview city, Tennessee",1982,,2,9
801,"Fairview city, Tennessee",1983,,8,14
802,"Fairview city, Tennessee",1984,,0,11
803,"Fairview city, Tennessee",1985,,40,11
804,"Fairview city, Tennessee",1986,,15,21
805,"Fairview city, Tennessee",1987,,6,33
806,"Fairview city, Tennessee",1988,,0,19
807,"Fairview city, Tennessee",1989,,0,5
808,"Fairview city, Tennessee",1990,,0,13
809,"Fairview city, Tennessee",1991,,40,13
810,"Fairview city, Tennessee",1992,,0,24
811,"Fairview city, Tennessee",1993,,40,30
812,"Fairview city, Tennessee",1994,,0,51
813,"Fairview city, Tennessee",1995,,4,66
814,"Fairview city, Tennessee",1996,,0,52
815,"Fairview city, Tennessee",1997,,0,62
816,"Fairview city, Tennessee",1998,,12,137
817,"Fairview city, Tennessee",1999,,3,99
818,"Fairview city, Tennessee",2000,,0,63
819,"Fairview city, Tennessee",2001,,4,89
820,"Fairview city, Tennessee",2002,,8,63
821,"Fairview city, Tennessee",2003,,12,90
822,"Fairview city, Tennessee",2004,,5,104
823,"Fairview city, Tennessee",2005,,0,113
824,"Fairview city, Tennessee",2006,,0,78
825,"Fairview city, Tennessee",2007,,0,49
826,"Fairview city, Tennessee",2008,,8,16
827,"Fairview city, Tennessee",2009,,88,3
828,"Fairview city, Tennessee",2010,,0,8
829,"Fairview city, Tennessee",2011,,0,11
830,"Fairview city, Tennessee",2012,,0,25
831,"Fairview city, Tennessee",2013,,0,20
832,"Fairview city, Tennessee",2014,,0,39
833,"Fairview city, Tennessee",2015,,0,60
834,"Fairview city, Tennessee",2016,,12,75
835,"Fairview city, Tennessee",2017,,7,138
836,"Fairview city, Tennessee",2018,,0,76
837,"Fairview city, Tennessee",2019,,75,123
838,"Fairview city, Tennessee",2020,,0,96
839,"Fairview city, Tennessee",2021,,8,145
840,"Fairview city, Tennessee",2022,24,,118
841,"Fairview city, Tennessee",2023,0,,120
842,"Forest Hills city, Tennessee",1980,,0,9
843,"Forest Hills city, Tennessee",1981,,0,8
844,"Forest Hills city, Tennessee",1982,,0,5
845,"Forest Hills city, Tennessee",1983,,0,16
846,"Forest Hills city, Tennessee",1984,,0,13
847,"Forest Hills city, Tennessee",1985,,0,24
848,"Forest Hills city, Tennessee",1986,,0,12
849,"Forest Hills city, Tennessee",1987,,0,43
850,"Forest Hills city, Tennessee",1988,,0,29
851,"Forest Hills city, Tennessee",1989,,0,21
852,"Forest Hills city, Tennessee",1990,,0,17
853,"Forest Hills city, Tennessee",1991,,0,16
854,"Forest Hills city, Tennessee",1992,,0,23
855,"Forest Hills city, Tennessee",1993,,0,36
856,"Forest Hills city, Tennessee",1994,,0,26
857,"Forest Hills city, Tennessee",1995,,0,30
858,"Forest Hills city, Tennessee",1996,,0,14
859,"Forest Hills city, Tennessee",1997,,0,15
860,"Forest Hills city, Tennessee",1998,,0,14
861,"Forest Hills city, Tennessee",1999,,0,17
862,"Forest Hills city, Tennessee",2000,,0,12
863,"Forest Hills city, Tennessee",2001,,0,13
864,"Forest Hills city, Tennessee",2002,,0,9
865,"Forest Hills city, Tennessee",2003,,0,15
866,"Forest Hills city, Tennessee",2004,,0,23
867,"Forest Hills city, Tennessee",2005,,0,26
868,"Forest Hills city, Tennessee",2006,,0,30
869,"Forest Hills city, Tennessee",2007,,0,21
870,"Forest Hills city, Tennessee",2008,,0,8
871,"Forest Hills city, Tennessee",2009,,0,9
872,"Forest Hills city, Tennessee",2010,,0,2
873,"Forest Hills city, Tennessee",2011,,0,3
874,"Forest Hills city, Tennessee",2012,,0,4
875,"Forest Hills city, Tennessee",2013,,0,16
876,"Forest Hills city, Tennessee",2014,,0,17
877,"Forest Hills city, Tennessee",2015,,0,17
878,"Forest Hills city, Tennessee",2016,,0,18
879,"Forest Hills city, Tennessee",2017,,0,9
880,"Forest Hills city, Tennessee",2018,,0,15
881,"Forest Hills city, Tennessee",2019,,0,18
882,"Forest Hills city, Tennessee",2020,,0,13
883,"Forest Hills city, Tennessee",2021,,0,11
884,"Forest Hills city, Tennessee",2022,0,,8
885,"Forest Hills city, Tennessee",2023,0,,0
886,"Franklin city, Tennessee",1980,,0,28
887,"Franklin city, Tennessee",1981,,0,23
888,"Franklin city, Tennessee",1982,,28,93
889,"Franklin city, Tennessee",1983,,31,129
890,"Franklin city, Tennessee",1984,,39,136
891,"Franklin city, Tennessee",1985,,18,129
892,"Franklin city, Tennessee",1986,,12,130
893,"Franklin city, Tennessee",1987,,3,119
894,"Franklin city, Tennessee",1988,,298,146
895,"Franklin city, Tennessee",1989,,210,125
896,"Franklin city, Tennessee",1990,,0,189
897,"Franklin city, Tennessee",1991,,15,169
898,"Franklin city, Tennessee",1992,,15,217
899,"Franklin city, Tennessee",1993,,25,237
900,"Franklin city, Tennessee",1994,,50,243
901,"Franklin city, Tennessee",1995,,18,635
902,"Franklin city, Tennessee",1996,,600,626
903,"Franklin city, Tennessee",1997,,484,709
904,"Franklin city, Tennessee",1998,,0,989
905,"Franklin city, Tennessee",1999,,0,925
906,"Franklin city, Tennessee",2000,,0,541
907,"Franklin city, Tennessee",2001,,0,584
908,"Franklin city, Tennessee",2002,,0,679
909,"Franklin city, Tennessee",2003,,0,726
910,"Franklin city, Tennessee",2004,,0,845
911,"Franklin city, Tennessee",2005,,0,906
912,"Franklin city, Tennessee",2006,,10,667
913,"Franklin city, Tennessee",2007,,24,277
914,"Franklin city, Tennessee",2008,,0,210
915,"Franklin city, Tennessee",2009,,0,147
916,"Franklin city, Tennessee",2010,,0,286
917,"Franklin city, Tennessee",2011,,310,314
918,"Franklin city, Tennessee",2012,,485,404
919,"Franklin city, Tennessee",2013,,0,493
920,"Franklin city, Tennessee",2014,,324,477
921,"Franklin city, Tennessee",2015,,162,702
922,"Franklin city, Tennessee",2016,,780,878
923,"Franklin city, Tennessee",2017,,920,675
924,"Franklin city, Tennessee",2018,,405,571
925,"Franklin city, Tennessee",2019,,594,505
926,"Franklin city, Tennessee",2020,,515,408
927,"Franklin city, Tennessee",2021,,887,293
928,"Franklin city, Tennessee",2022,551,,288
929,"Franklin city, Tennessee",2023,0,,306
930,"Gallatin city, Tennessee",1980,,4,90
931,"Gallatin city, Tennessee",1981,,16,34
932,"Gallatin city, Tennessee",1982,,2,19
933,"Gallatin city, Tennessee",1983,,86,65
934,"Gallatin city, Tennessee",1984,,254,86
935,"Gallatin city, Tennessee",1985,,74,139
936,"Gallatin city, Tennessee",1986,,241,183
937,"Gallatin city, Tennessee",1987,,64,136
938,"Gallatin city, Tennessee",1988,,9,104
939,"Gallatin city, Tennessee",1989,,0,106
940,"Gallatin city, Tennessee",1990,,10,98
941,"Gallatin city, Tennessee",1991,,2,76
942,"Gallatin city, Tennessee",1992,,0,107
943,"Gallatin city, Tennessee",1993,,0,157
944,"Gallatin city, Tennessee",1994,,190,140
945,"Gallatin city, Tennessee",1995,,111,175
946,"Gallatin city, Tennessee",1996,,6,120
947,"Gallatin city, Tennessee",1997,,10,134
948,"Gallatin city, Tennessee",1998,,160,138
949,"Gallatin city, Tennessee",1999,,16,206
950,"Gallatin city, Tennessee",2000,,0,115
951,"Gallatin city, Tennessee",2001,,378,157
952,"Gallatin city, Tennessee",2002,,35,211
953,"Gallatin city, Tennessee",2003,,23,272
954,"Gallatin city, Tennessee",2004,,208,320
955,"Gallatin city, Tennessee",2005,,95,370
956,"Gallatin city, Tennessee",2006,,28,503
957,"Gallatin city, Tennessee",2007,,6,348
958,"Gallatin city, Tennessee",2008,,0,341
959,"Gallatin city, Tennessee",2009,,0,222
960,"Gallatin city, Tennessee",2010,,2,100
961,"Gallatin city, Tennessee",2011,,0,157
962,"Gallatin city, Tennessee",2012,,3,199
963,"Gallatin city, Tennessee",2013,,0,313
964,"Gallatin city, Tennessee",2014,,0,368
965,"Gallatin city, Tennessee",2015,,72,418
966,"Gallatin city, Tennessee",2016,,148,551
967,"Gallatin city, Tennessee",2017,,1072,506
968,"Gallatin city, Tennessee",2018,,466,537
969,"Gallatin city, Tennessee",2019,,132,447
970,"Gallatin city, Tennessee",2020,,492,686
971,"Gallatin city, Tennessee",2021,,15,763
972,"Gallatin city, Tennessee",2022,351,,688
973,"Gallatin city, Tennessee",2023,292,,766
974,"Goodlettsville city, Tennessee",1980,,0,7
975,"Goodlettsville city, Tennessee",1981,,0,5
976,"Goodlettsville city, Tennessee",1982,,0,4
977,"Goodlettsville city, Tennessee",1983,,318,12
978,"Goodlettsville city, Tennessee",1984,,270,134
979,"Goodlettsville city, Tennessee",1985,,336,108
980,"Goodlettsville city, Tennessee",1986,,6,147
981,"Goodlettsville city, Tennessee",1987,,4,132
982,"Goodlettsville city, Tennessee",1988,,2,112
983,"Goodlettsville city, Tennessee",1989,,0,65
984,"Goodlettsville city, Tennessee",1990,,0,59
985,"Goodlettsville city, Tennessee",1991,,0,79
986,"Goodlettsville city, Tennessee",1992,,0,79
987,"Goodlettsville city, Tennessee",1993,,0,76
988,"Goodlettsville city, Tennessee",1994,,0,105
989,"Goodlettsville city, Tennessee",1995,,142,127
990,"Goodlettsville city, Tennessee",1996,,266,86
991,"Goodlettsville city, Tennessee",1997,,0,61
992,"Goodlettsville city, Tennessee",1998,,6,65
993,"Goodlettsville city, Tennessee",1999,,4,108
994,"Goodlettsville city, Tennessee",2000,,0,46
995,"Goodlettsville city, Tennessee",2001,,0,104
996,"Goodlettsville city, Tennessee",2002,,0,78
997,"Goodlettsville city, Tennessee",2003,,322,69
998,"Goodlettsville city, Tennessee",2004,,0,93
999,"Goodlettsville city, Tennessee",2005,,0,95
1000,"Goodlettsville city, Tennessee",2006,,0,71
1001,"Goodlettsville city, Tennessee",2007,,176,87
1002,"Goodlettsville city, Tennessee",2008,,5,46
1003,"Goodlettsville city, Tennessee",2009,,8,28
1004,"Goodlettsville city, Tennessee",2010,,0,30
1005,"Goodlettsville city, Tennessee",2011,,0,28
1006,"Goodlettsville city, Tennessee",2012,,92,30
1007,"Goodlettsville city, Tennessee",2013,,0,42
1008,"Goodlettsville city, Tennessee",2014,,0,14
1009,"Goodlettsville city, Tennessee",2015,,0,36
1010,"Goodlettsville city, Tennessee",2016,,0,63
1011,"Goodlettsville city, Tennessee",2017,,16,104
1012,"Goodlettsville city, Tennessee",2018,,0,57
1013,"Goodlettsville city, Tennessee",2019,,0,97
1014,"Goodlettsville city, Tennessee",2020,,0,128
1015,"Goodlettsville city, Tennessee",2021,,0,119
1016,"Goodlettsville city, Tennessee",2022,309,,14
1017,"Goodlettsville city, Tennessee",2023,16,,17
1018,"Greenbrier town, Tennessee",1980,,0,0
1019,"Greenbrier town, Tennessee",1981,,0,0
1020,"Greenbrier town, Tennessee",1982,,0,0
1021,"Greenbrier town, Tennessee",1983,,0,0
1022,"Greenbrier town, Tennessee",1984,,0,0
1023,"Greenbrier town, Tennessee",1985,,0,0
1024,"Greenbrier town, Tennessee",1986,,0,0
1025,"Greenbrier town, Tennessee",1987,,0,0
1026,"Greenbrier town, Tennessee",1988,,0,0
1027,"Greenbrier town, Tennessee",1989,,0,0
1028,"Greenbrier town, Tennessee",1990,,2,16
1029,"Greenbrier town, Tennessee",1991,,0,19
1030,"Greenbrier town, Tennessee",1992,,0,28
1031,"Greenbrier town, Tennessee",1993,,0,36
1032,"Greenbrier town, Tennessee",1994,,0,52
1033,"Greenbrier town, Tennessee",1995,,146,50
1034,"Greenbrier town, Tennessee",1996,,0,161
1035,"Greenbrier town, Tennessee",1997,,0,88
1036,"Greenbrier town, Tennessee",1998,,0,121
1037,"Greenbrier town, Tennessee",1999,,0,122
1038,"Greenbrier town, Tennessee",2000,,0,120
1039,"Greenbrier town, Tennessee",2001,,0,128
1040,"Greenbrier town, Tennessee",2002,,0,140
1041,"Greenbrier town, Tennessee",2003,,0,45
1042,"Greenbrier town, Tennessee",2004,,0,56
1043,"Greenbrier town, Tennessee",2005,,0,59
1044,"Greenbrier town, Tennessee",2006,,0,71
1045,"Greenbrier town, Tennessee",2007,,0,52
1046,"Greenbrier town, Tennessee",2008,,0,31
1047,"Greenbrier town, Tennessee",2009,,0,23
1048,"Greenbrier town, Tennessee",2010,,0,22
1049,"Greenbrier town, Tennessee",2011,,0,20
1050,"Greenbrier town, Tennessee",2012,,0,24
1051,"Greenbrier town, Tennessee",2013,,0,7
1052,"Greenbrier town, Tennessee",2014,,2,21
1053,"Greenbrier town, Tennessee",2015,,0,16
1054,"Greenbrier town, Tennessee",2016,,0,27
1055,"Greenbrier town, Tennessee",2017,,0,14
1056,"Greenbrier town, Tennessee",2018,,0,10
1057,"Greenbrier town, Tennessee",2019,,0,40
1058,"Greenbrier town, Tennessee",2020,,0,21
1059,"Greenbrier town, Tennessee",2021,,0,10
1060,"Greenbrier town, Tennessee",2022,0,,10
1061,"Greenbrier town, Tennessee",2023,0,,24
1062,"Hendersonville city, Tennessee",1980,,89,126
1063,"Hendersonville city, Tennessee",1981,,12,86
1064,"Hendersonville city, Tennessee",1982,,42,149
1065,"Hendersonville city, Tennessee",1983,,597,264
1066,"Hendersonville city, Tennessee",1984,,786,265
1067,"Hendersonville city, Tennessee",1985,,575,238
1068,"Hendersonville city, Tennessee",1986,,122,325
1069,"Hendersonville city, Tennessee",1987,,135,302
1070,"Hendersonville city, Tennessee",1988,,321,137
1071,"Hendersonville city, Tennessee",1989,,12,140
1072,"Hendersonville city, Tennessee",1990,,364,130
1073,"Hendersonville city, Tennessee",1991,,0,111
1074,"Hendersonville city, Tennessee",1992,,0,184
1075,"Hendersonville city, Tennessee",1993,,0,287
1076,"Hendersonville city, Tennessee",1994,,288,303
1077,"Hendersonville city, Tennessee",1995,,56,363
1078,"Hendersonville city, Tennessee",1996,,57,475
1079,"Hendersonville city, Tennessee",1997,,4,439
1080,"Hendersonville city, Tennessee",1998,,216,442
1081,"Hendersonville city, Tennessee",1999,,240,549
1082,"Hendersonville city, Tennessee",2000,,0,290
1083,"Hendersonville city, Tennessee",2001,,0,345
1084,"Hendersonville city, Tennessee",2002,,4,403
1085,"Hendersonville city, Tennessee",2003,,6,439
1086,"Hendersonville city, Tennessee",2004,,0,479
1087,"Hendersonville city, Tennessee",2005,,0,568
1088,"Hendersonville city, Tennessee",2006,,0,464
1089,"Hendersonville city, Tennessee",2007,,0,406
1090,"Hendersonville city, Tennessee",2008,,0,197
1091,"Hendersonville city, Tennessee",2009,,0,132
1092,"Hendersonville city, Tennessee",2010,,0,166
1093,"Hendersonville city, Tennessee",2011,,0,121
1094,"Hendersonville city, Tennessee",2012,,0,206
1095,"Hendersonville city, Tennessee",2013,,0,240
1096,"Hendersonville city, Tennessee",2014,,0,198
1097,"Hendersonville city, Tennessee",2015,,0,246
1098,"Hendersonville city, Tennessee",2016,,0,279
1099,"Hendersonville city, Tennessee",2017,,0,370
1100,"Hendersonville city, Tennessee",2018,,0,282
1101,"Hendersonville city, Tennessee",2019,,0,432
1102,"Hendersonville city, Tennessee",2020,,0,335
1103,"Hendersonville city, Tennessee",2021,,0,454
1104,"Hendersonville city, Tennessee",2022,0,,384
1105,"Hendersonville city, Tennessee",2023,0,,265
1106,"Houston County, Tennessee",1980,,0,15
1107,"Houston County, Tennessee",1981,,0,2
1108,"Houston County, Tennessee",1982,,0,1
1109,"Houston County, Tennessee",1983,,0,1
1110,"Houston County, Tennessee",1984,,0,1
1111,"Houston County, Tennessee",1985,,0,1
1112,"Houston County, Tennessee",1986,,0,1
1113,"Houston County, Tennessee",1987,,0,1
1114,"Houston County, Tennessee",1988,,0,1
1115,"Houston County, Tennessee",1989,,0,1
1116,"Houston County, Tennessee",1990,,0,6
1117,"Houston County, Tennessee",1991,,0,0
1118,"Houston County, Tennessee",1992,,0,4
1119,"Houston County, Tennessee",1993,,0,0
1120,"Houston County, Tennessee",1994,,0,1
1121,"Houston County, Tennessee",1995,,0,0
1122,"Houston County, Tennessee",1996,,0,0
1123,"Houston County, Tennessee",1997,,0,1
1124,"Houston County, Tennessee",1998,,0,1
1125,"Houston County, Tennessee",1999,,0,6
1126,"Houston County, Tennessee",2000,,0,2
1127,"Houston County, Tennessee",2001,,0,2
1128,"Houston County, Tennessee",2002,,0,2
1129,"Houston County, Tennessee",2003,,0,1
1130,"Houston County, Tennessee",2004,,0,3
1131,"Houston County, Tennessee",2005,,0,4
1132,"Houston County, Tennessee",2006,,0,1
1133,"Houston County, Tennessee",2007,,0,1
1134,"Houston County, Tennessee",2008,,0,1
1135,"Houston County, Tennessee",2009,,0,2
1136,"Houston County, Tennessee",2010,,0,3
1137,"Houston County, Tennessee",2011,,0,1
1138,"Houston County, Tennessee",2012,,0,2
1139,"Houston County, Tennessee",2013,,0,0
1140,"Houston County, Tennessee",2014,,0,1
1141,"Houston County, Tennessee",2015,,0,1
1142,"Houston County, Tennessee",2016,,0,0
1143,"Houston County, Tennessee",2017,,0,1
1144,"Houston County, Tennessee",2018,,0,0
1145,"Houston County, Tennessee",2019,,0,2
1146,"Houston County, Tennessee",2020,,0,0
1147,"Houston County, Tennessee",2021,,0,1
1148,"Houston County, Tennessee",2022,0,,2
1149,"Houston County, Tennessee",2023,0,,0
1150,"Humphreys County, Tennessee",1980,,0,19
1151,"Humphreys County, Tennessee",1981,,0,19
1152,"Humphreys County, Tennessee",1982,,64,8
1153,"Humphreys County, Tennessee",1983,,2,7
1154,"Humphreys County, Tennessee",1984,,0,5
1155,"Humphreys County, Tennessee",1985,,0,7
1156,"Humphreys County, Tennessee",1986,,0,17
1157,"Humphreys County, Tennessee",1987,,0,14
1158,"Humphreys County, Tennessee",1988,,0,12
1159,"Humphreys County, Tennessee",1989,,3,15
1160,"Humphreys County, Tennessee",1990,,0,15
1161,"Humphreys County, Tennessee",1991,,2,14
1162,"Humphreys County, Tennessee",1992,,0,26
